Mean_X,Mean_Y,Mean_Z,Std_X,Std_Y,Std_Z,Sqrt_X,Sqrt_Y,Sqrt_Z,Median_X,Median_Y,Median_Z,Max_vx,Max_vy,Max_vz,Max_ax,Max_ay,Max_az,Label
5.827835354,-1.231623917,1.107335284,17.20621997,10.36420581,7.076925022,221.8255994,127.4073475,87.44298721,1.44556385,-0.39936951,0.67000675,41.4072822,42.6052643,34.5911583,78.3591542,55.1372043,102.7695698,1
2.966465894,-3.822232658,1.961202307,18.0896937,9.69734298,9.026033209,223.7818216,127.2915946,112.764663,0.83517663,-1.50296275,0.652044085,42.0112873,44.867921,46.646598,113.2054255,60.3944669,85.9803924,1
0.282630047,-3.653386484,-0.423051742,18.04478731,9.078496701,7.332540086,220.2918971,119.5095443,89.65490165,0.66633545,-2.06448245,-0.35087037,42.853803,43.3072737,34.9983743,113.4915204,58.3048857,62.42859968,1
0.973999773,-3.715345786,0.793947619,20.32096066,8.169435867,8.036071579,248.3356121,109.6119602,98.57353317,0.74122365,-1.89310065,0.165505423,76.07899,38.9813659,45.867019,113.7921072,65.7732509,65.027494,1
2.601579598,-2.001661079,2.364426501,19.32403432,9.946177875,9.832737664,238.0221828,123.858947,123.4678244,0.420361615,-1.28149775,0.81386043,70.946464,44.159485,50.093031,107.8961436,73.039828,91.9259855,1
3.739825581,-2.673035725,1.321070677,17.41958714,8.224361546,9.567794201,217.5104703,105.5942532,117.9052346,0.80587257,-1.316662,1.0183928,76.10534,44.0476325,45.823177,113.6196097,75.0799005,122.819462,1
1.653426989,-4.14902255,1.207749038,19.6292283,8.274892896,9.717056736,240.4594707,113.0697229,119.530566,-0.40732126,-3.62243175,-0.1571265,78.022552,42.394342,60.680214,117.5942976,61.532943,89.306346,1
1.192251702,-3.702904213,0.569471511,18.69747099,9.17596033,9.30092094,228.6983546,120.8398274,113.7462399,0.31478565,-3.0977889,0.012250541,73.191795,41.584741,48.107559,110.5345571,61.523278,84.830054,1
3.265649619,-3.695123033,-0.157420098,16.8959894,9.610839773,8.31795537,210.0841839,125.7416322,101.5518883,1.008272765,-1.9770326,0.140082275,41.2879728,43.0569366,38.9374096,70.475915,69.9814189,65.2946006,1
5.090138712,-3.173590413,0.788235442,16.91800226,7.36587111,6.449044371,215.715155,97.95358054,79.31035928,1.57872185,-1.414741,1.3682912,75.58442,29.0537299,39.0997573,113.2968289,48.9719109,72.6635615,1
2.422587878,-3.526868106,0.707641774,18.30831866,8.336262996,6.911764803,225.4425096,110.54555,84.81282299,0.68922609,-1.9255958,0.256728725,40.1714358,43.519261,48.333888,107.8567262,65.1615787,63.0495757,1
2.468298234,-3.606021803,0.299223169,16.71171656,9.479718775,8.94924645,206.2203034,123.8563851,109.3009285,0.059247121,-0.60175477,0.376018065,38.33505965,43.091025,40.7856964,113.3280083,54.2530304,116.0084714,1
2.749694777,-3.072096876,0.578098883,17.45244597,9.405452619,7.816045955,215.6796603,120.8163283,95.66935419,1.00188117,-0.57244132,0.28868667,77.91238,40.4981713,26.7892853,116.7220184,46.7839023,38.7048587,1
5.119462089,-2.195057017,0.457971066,14.9908203,8.93198661,7.117689074,193.4303831,112.2943393,87.06333206,0.8447547,-0.348341465,0.18216021,38.1802257,40.7080284,44.5740204,72.9607214,68.9225564,70.7743354,1
1.455230447,-2.92597072,0.837717587,16.82254656,10.31234424,8.959624899,206.1173627,130.8797838,109.8463585,-0.55127435,-1.1717909,-0.195927925,71.90088,40.2403774,39.165702,113.9406985,55.6068224,64.7325374,1
-0.168191374,-3.404956537,0.480819728,16.09958405,9.632230981,9.03694945,196.5312638,124.7527977,110.4670991,-0.239151865,-2.08246465,0.13795174,70.5453,40.7474432,30.608492,111.8726095,61.64132976,54.9670373,1
2.732919652,-2.906236446,0.145324398,17.36223429,9.85592342,10.57889554,214.5599153,125.4618519,129.1441423,0.18375812,-1.1174624,-0.138484373,72.39545,41.5463916,42.7977274,110.5893585,58.99763024,64.73716,1
3.04558765,-2.501897395,1.419789678,13.51065552,10.35308532,12.38727868,169.0842237,130.0372776,152.2025844,1.32625415,-0.62989013,0.011838795,37.6673473,41.5890022,72.355934,73.7899076,70.0226353,112.907058,1
3.356115212,-1.922444071,1.614660341,15.53422819,11.54556499,11.87832389,194.0233258,142.8848461,146.335783,1.12012555,-1.03969805,-0.072970617,37.5403724,42.1834196,76.876534,70.16069288,68.7891476,123.40767,1
2.819787024,-2.812668296,1.300908075,15.94862691,11.26959366,10.18882261,197.7172885,141.8105176,125.3868338,0.29054582,-0.98323905,0.897531525,40.6599913,41.4366692,33.27843,75.4725396,53.6596512,50.3659426,1
2.642804493,-2.206552906,1.054810789,14.78080054,11.01498324,8.573674725,183.3030277,137.1440115,105.4493751,0.108124343,-0.853809435,1.0095721,74.23722,41.2438565,25.07246,112.6665518,64.6264325,43.8680736,1
2.197923889,-2.921098974,0.234108571,16.61828884,11.05189869,8.627966695,204.6303777,139.5687935,105.3567777,0.653539735,-1.46138095,1.0029144,70.196825,42.6265696,45.20284,114.8771286,66.6416825,61.819484,1
1.622586489,-2.519509017,0.173960126,16.93801639,8.601409051,7.913083607,207.7076828,109.4341823,96.61498979,0.088416945,-1.09459855,-0.199517215,38.70523537,37.0520409,35.7626494,103.9375474,60.9746994,43.7620144,1
